anime_id,name,english_name,score,genres,type,episodes,premiered,producers,studios,source,duration,rating,rank,popularity,favorites,scored_by,members
28861,Takamiya Nasuno desu! Teekyuu Spin-off,,6.4,"Comedy, Slice of Life",TV,12,spring 2015,"DAX Production, Earth Star Entertainment",Millepensee,Manga,2 min per ep,PG-13 - Teens 13 or older,7698,5639,10,8166,15598
28673,Duan Nao,Die Now,6.4,"Mystery, Sci-Fi, Suspense",ONA,16,,Yaoqi,Haoliners Animation League,Web manga,14 min per ep,R - 17+ (violence & profanity),7719,8089,7,1138,6381
27721,Kasumin,Mistin,6.4,Fantasy,TV,26,fall 2001,NHK,OLM,Unknown,25 min per ep,G - All Ages,7678,12093,1,629,1887
2142,Blue Dragon,,6.4,"Adventure, Comedy, Fantasy",TV,51,spring 2007,Pony Canyon,Pierrot,Game,25 min per ep,PG - Children,7715,3093,115,29209,56986
2127,Chouja Raideen,,6.4,"Action, Adventure, Sci-Fi",TV,38,fall 1996,,Sunrise,Original,25 min per ep,PG-13 - Teens 13 or older,7717,10503,8,1033,3030
6730,Tonde Mon Pe,,6.4,Supernatural,TV,42,summer 1982,Asahi Broadcasting,Tokyo Movie Shinsha,Unknown,23 min per ep,G - All Ages,7702,16781,0,130,524
1999,Sakura Taisen: Kanzaki Sumire Intai Kinen - Su Mi Re,Sakura Taisen: Sumire,6.4,"Drama, Sci-Fi",OVA,1,,"Sega, Imagine",Radix,Game,24 min,PG-13 - Teens 13 or older,7694,9868,0,1395,3683
23581,Romeo no Aoi Sora Specials,,6.4,"Adventure, Drama",TV Special,2,,,Nippon Animation,Novel,45 min per ep,G - All Ages,7693,14102,2,266,1045
44072,Ba Ma Laizi Er Ciyuan,My ACG Parents,6.4,Comedy,ONA,24,,bilibili,Paper Animation,Manga,4 min per ep,PG-13 - Teens 13 or older,7714,12144,4,331,1856
1807,Prism Ark,,6.4,"Action, Comedy, Fantasy, Romance",TV,12,fall 2007,"Marvelous Entertainment, Media Factory, 5pb., Pencil, Omnibus Promotion",Front Line,Visual novel,24 min per ep,R+ - Mild Nudity,7691,4801,27,9236,23496
21033,Seikoku no Dragonar,Dragonar Academy,6.4,"Comedy, Fantasy, Romance, Ecchi",TV,12,spring 2014,"Media Factory, AT-X, Sony Music Communications, Tsukuru no Mori",C-Station,Light novel,24 min per ep,R+ - Mild Nudity,7693,1120,299,111457,232398
4941,Tezuka Osamu ga Kieta?! 20-seiki Saigo no Kaijiken,Osamu Tezuka's Last Mystery of the 20th Century,6.4,Mystery,TV Special,1,,Tezuka Productions,,Unknown,41 min,PG - Children,7700,13601,0,334,1192
4790,Zeno: Kagirinaki Ai ni,,6.4,Drama,Movie,1,,Robot Communications,,Unknown,1 hr 12 min,G - All Ages,7711,14199,3,265,1015
4756,Hello Harinezumi: Satsui no Ryoubun,Domain of Murder,6.4,"Drama, Mystery",OVA,1,,"Sony Pictures Entertainment, animate Film",Studio Deen,Manga,51 min,R+ - Mild Nudity,7724,9467,7,1801,4180
4667,B-Legend! Battle B-Daman Fire Spirits!,Battle B-Daman: Fire Spirits!,6.4,"Adventure, Fantasy",TV,51,winter 2005,"Yomiko Advertising, Heewon Entertainment",,Manga,23 min per ep,PG - Children,7713,8515,14,2998,5674
4242,Ginga Reppuu Baxingar,Galactic Gale Baxingar,6.4,"Action, Adventure",TV,39,summer 1982,,Kokusai Eigasha,Original,24 min per ep,PG-13 - Teens 13 or older,7724,11950,1,642,1965
4154,Time Bokan Series: Yattodetaman,Firebird,6.4,"Action, Adventure, Comedy, Fantasy",TV,52,winter 1981,,Tatsunoko Production,Unknown,20 min per ep,PG-13 - Teens 13 or older,7701,11392,3,907,2332
3866,Kuro ga Ita Natsu,,6.4,Drama,Movie,1,,"GEN Productions, RCC Chugoku Broadcasting",,Original,1 hr 7 min,G - All Ages,7683,13650,3,418,1173
34454,Granblue Fantasy CMs,,6.4,Fantasy,CM,,,,,Game,28 sec,G - All Ages,,7624,9,775,7368
2560,Terra e...,Toward the Terra,6.4,"Action, Drama, Sci-Fi",Movie,1,,,Toei Animation,Manga,1 hr 51 min,PG-13 - Teens 13 or older,7699,6211,18,4224,12239
2180,Slow Step,Slow Step,6.4,"Comedy, Romance, Sports",OVA,5,,Youmex,Pastel,Manga,43 min per ep,PG-13 - Teens 13 or older,7696,9680,2,1273,3905
10917,Pokemon: Pikachu no Fuyuyasumi (2001),Pokémon: Pikachu's Winter Vacation (2001),6.4,"Adventure, Comedy, Fantasy",OVA,3,,Shogakukan Productions,OLM,Game,15 min per ep,PG - Children,7691,6607,4,4661,10531
315,Xiao Qian,A Chinese Ghost Story,6.4,"Action, Drama, Fantasy, Romance",Movie,1,,"Polygram Japan, Film Workshop",Triangle Staff,Unknown,1 hr 24 min,PG - Children,7704,10108,6,1218,3404
1733,eX-Driver: Nina & Rei Danger Zone,,6.4,"Action, Sci-Fi",Movie,1,,"Bandai Visual, Dentsu, Genco",Actas,Original,27 min,PG-13 - Teens 13 or older,7718,8882,2,2338,5063
